Customer Code,Customer name,Customer Channel type, Customer coordinates X , Customer coordinates y ,Number of Doors,Route,Rep name,Supervisor name,Service Channel,Depot,USM name,Region,RSM,Discount
Cs 610,61-النيل 1-,Kiosks,29.992898,31.215138,1,61-خط منيل شيحه,Rep 118,Sup 22,Presell,61-Manial Shiha,USM 11,Giza,RSM 2,0.75%
Cs 611,61-نوارة العمدة-,LG,29.992304,31.215211,2,61-خط منيل شيحه,Rep 118,Sup 22,Presell,61-Manial Shiha,USM 11,Giza,RSM 2,1.00%
Cs 612,61-اولاد عوض,SG,30.064866,31.201489,1,61-خط ميت عقبه,Rep 119,Sup 22,Conv,61-Manial Shiha,USM 11,Giza,RSM 2,0.75%
Cs 613,61-س ز م الرحمة-,Kiosks,30.060199,31.193928,2,61-خط ميت عقبه,Rep 119,Sup 22,Conv,61-Manial Shiha,USM 11,Giza,RSM 2,1.00%
Cs 614,54-H-الامير-الحى الاول,LG,29.971441,30.943859,2,الامريكيه,Rep 97,Sup 19,Conv,54-6 October,USM 10,Giza,RSM 2,1.00%
Cs 615,45-الاسره,SG,30.1062,31.2538,3,45-PRE_GPXش شبرا,Rep 93,Sup 18,Conv,45-Shobra,USM 9,Giza,RSM 2,1.25%
Cs 616,45-الامير عشم,Kiosks,30.0733,31.2478,3,45-Pre_Shoubra_ key Account 1,Rep 95,Sup 18,Conv,45-Shobra,USM 9,Giza,RSM 2,1.25%
Cs 617,ابو الشهود,SM,31.205176,29.883306,1,23-Pre 01 بحري,Rep 120,Sup 23,Conv,Smouha,USM 12,Alex,RSM 3,0.75%
Cs 618,محسن,LG,31.206288,29.883217,2,23-Pre 01 بحري,Rep 120,Sup 23,Presell,Smouha,USM 12,Alex,RSM 3,1.00%
Cs 619,الرزق,SG,31.202613,29.880507,1,23-Pre 01 بحري,Rep 120,Sup 23,Presell,Smouha,USM 12,Alex,RSM 3,0.75%
Cs 620,بازار الثورة,Kiosks,31.210792,29.882389,2,23-Pre 01 بحري,Rep 120,Sup 23,Presell,Smouha,USM 12,Alex,RSM 3,1.00%
Cs 621,رضا,SM,31.199979,29.886362,1,23-Pre 02 المنشية,Rep 121,Sup 23,Presell,Smouha,USM 12,Alex,RSM 3,0.75%
Cs 622,ارجيرس,Kiosks,31.199269,29.895895,2,23-Pre 03 العطارين و سعد زغلول,Rep 122,Sup 23,Presell,Smouha,USM 12,Alex,RSM 3,1.00%
Cs 623,2000,LG,31.198699,29.894255,2,23-Pre 03 العطارين و سعد زغلول,Rep 122,Sup 23,Presell,Smouha,USM 12,Alex,RSM 3,1.00%
Cs 624,سوبر ماركت سوبريم,SG,31.187208,29.910108,3,23-Pre 04 محطة مصر و كرموز,Rep 123,Sup 23,Presell,Smouha,USM 12,Alex,RSM 3,1.25%
Cs 625,القبطان,Kiosks,31.186052,29.898657,3,23-Pre 04 محطة مصر و كرموز,Rep 123,Sup 23,Conv,Smouha,USM 12,Alex,RSM 3,1.25%
Cs 626,بازار احمد زكى,LG,31.190685,29.889148,1,23-Pre 04 محطة مصر و كرموز,Rep 123,Sup 23,Conv,Smouha,USM 12,Alex,RSM 3,0.75%
Cs 627,المنوفى,SG,31.186119,29.898612,2,23-Pre 04 محطة مصر و كرموز,Rep 123,Sup 23,Conv,Smouha,USM 12,Alex,RSM 3,1.00%
Cs 628,زريق,Kiosks,31.191555,29.91186,1,23-Pre 05 محرم بك,Rep 124,Sup 23,Conv,Smouha,USM 12,Alex,RSM 3,0.75%
Cs 629,التمساح,SM,31.194363,29.91718,1,23-Pre 05 محرم بك,Rep 124,Sup 23,Conv,Smouha,USM 12,Alex,RSM 3,0.75%
Cs 630,الجزيرة,Kiosks,31.193217,29.917889,1,23-Pre 05 محرم بك,Rep 124,Sup 23,Presell,Smouha,USM 12,Alex,RSM 3,0.75%
Cs 631,الفلاح,SM,31.187998,29.917192,1,23-Pre 06 غيط العنب و بوالينو,Rep 125,Sup 23,Presell,Smouha,USM 12,Alex,RSM 3,0.75%
Cs 632,نصار,Kiosks,31.199262,29.903818,1,23-Pre 07 محطة الرمل,Rep 126,Sup 24,Presell,Smouha,USM 12,Alex,RSM 3,0.75%
Cs 633,نور الاسلام 1,LG,31.207988,29.90732,2,23-Pre 07 محطة الرمل,Rep 126,Sup 24,Presell,Smouha,USM 12,Alex,RSM 3,1.00%
Cs 634,الدكر,SG,31.201966,29.912654,1,23-Pre 07 محطة الرمل,Rep 126,Sup 24,Presell,Smouha,USM 12,Alex,RSM 3,0.75%
Cs 635,احمد كوباية,Kiosks,31.206809,29.908305,2,23-Pre 07 محطة الرمل,Rep 126,Sup 24,Conv,Smouha,USM 12,Alex,RSM 3,1.00%
Cs 636,المحبة,LG,31.213544,29.924193,1,23-Pre 08 الشاطبي,Rep 127,Sup 25,Conv,Smouha,USM 12,Alex,RSM 3,0.75%
Cs 637,حمادة,SG,31.21399,29.922033,2,23-Pre 08 الشاطبي,Rep 127,Sup 25,Conv,Smouha,USM 12,Alex,RSM 3,1.00%
Cs 638,اطلانطك,Kiosks,31.216155,29.925733,2,23-Pre 08 الشاطبي,Rep 127,Sup 25,Conv,Smouha,USM 12,Alex,RSM 3,1.00%
Cs 639,الرجال,SG,31.21033,29.915765,3,23-Pre 08 الشاطبي,Rep 127,Sup 25,Conv,Smouha,USM 12,Alex,RSM 3,1.25%
Cs 640,السلاملك,Kiosks,31.222454,29.939544,3,23-Pre 09 كليوباترا,Rep 128,Sup 25,Conv,Smouha,USM 12,Alex,RSM 3,1.25%
Cs 641,خميس نورا,LG,31.219574,29.938192,1,23-Pre 09 كليوباترا,Rep 128,Sup 25,Presell,Smouha,USM 12,Alex,RSM 3,0.75%
Cs 642,كليوباترا,SG,31.222241,29.937326,2,23-Pre 09 كليوباترا,Rep 128,Sup 25,Presell,Smouha,USM 12,Alex,RSM 3,1.00%
Cs 643,مكافحة الغلاء,Kiosks,31.240002,29.959529,1,23-Pre 10 جليم,Rep 129,Sup 25,Presell,Smouha,USM 12,Alex,RSM 3,0.75%
Cs 644,الايمان,SM,31.251516,29.973467,1,23-Pre 10 جليم,Rep 129,Sup 25,Presell,Smouha,USM 12,Alex,RSM 3,0.75%
Cs 645,7 Day's,Kiosks,31.24963,29.970505,1,23-Pre 10 جليم,Rep 129,Sup 25,Presell,Smouha,USM 12,Alex,RSM 3,0.75%
Cs 646,الكوثر,SM,31.250351,29.974239,1,23-Pre 10 جليم,Rep 129,Sup 25,Presell,Smouha,USM 12,Alex,RSM 3,0.75%
Cs 647,التمساح,Kiosks,31.239999,29.959781,1,23-Pre 10 جليم,Rep 129,Sup 25,Presell,Smouha,USM 12,Alex,RSM 3,0.75%
Cs 648,البان حسنين,LG,31.239447,29.960564,2,23-Pre 10 جليم,Rep 129,Sup 25,Conv,Smouha,USM 12,Alex,RSM 3,1.00%
Cs 649,لافى ماركت,SG,31.24541,29.974746,1,23-Pre 10 جليم,Rep 129,Sup 25,Conv,Smouha,USM 12,Alex,RSM 3,0.75%
Cs 650,7 days,Kiosks,31.237232,29.957796,2,23-Pre 10 جليم,Rep 129,Sup 25,Conv,Smouha,USM 12,Alex,RSM 3,1.00%
Cs 651,منصور,SG,31.247443,29.968088,2,23-Pre 10 جليم,Rep 129,Sup 25,Conv,Smouha,USM 12,Alex,RSM 3,1.00%
Cs 652,بورتو ماركت,Kiosks,31.246854,29.969263,3,23-Pre 10 جليم,Rep 129,Sup 25,Conv,Smouha,USM 12,Alex,RSM 3,1.25%
Cs 653,ميراند,LG,31.240707,29.966403,3,23-Pre 10 جليم,Rep 129,Sup 25,Presell,Smouha,USM 12,Alex,RSM 3,1.25%
Cs 654,الكمال,SG,31.23479,29.964536,1,23-Pre 11 باكوس,Rep 130,Sup 25,Presell,Smouha,USM 12,Alex,RSM 3,0.75%
Cs 655,غنيم,Kiosks,31.233092,29.966845,2,23-Pre 11 باكوس,Rep 130,Sup 25,Presell,Smouha,USM 12,Alex,RSM 3,1.00%
Cs 656,هانى سويت,SM,31.231678,29.954895,2,23-Pre 12 كفر عبده,Rep 131,Sup 25,Presell,Smouha,USM 12,Alex,RSM 3,1.00%
Cs 657,السرايا,Kiosks,31.224033,29.95253,1,23-Pre 12 كفر عبده,Rep 131,Sup 25,Presell,Smouha,USM 12,Alex,RSM 3,0.75%
Cs 658,الديناصور,SM,31.223991,29.950697,2,23-Pre 12 كفر عبده,Rep 131,Sup 25,Conv,Smouha,USM 12,Alex,RSM 3,1.00%
Cs 659,الفتح,Kiosks,31.230674,29.956497,1,23-Pre 12 كفر عبده,Rep 131,Sup 25,Conv,Smouha,USM 12,Alex,RSM 3,0.75%
Cs 660,رفعت طنطاوى,SM,31.221897,29.942225,2,23-Pre 13 رشدي,Rep 132,Sup 25,Conv,Smouha,USM 12,Alex,RSM 3,1.00%
Cs 661,الهنا,Kiosks,31.228554,29.945303,2,23-Pre 13 رشدي,Rep 132,Sup 25,Conv,Smouha,USM 12,Alex,RSM 3,1.00%
Cs 662,شو ماركت,LG,31.230434,29.948194,3,23-Pre 13 رشدي,Rep 132,Sup 25,Conv,Smouha,USM 12,Alex,RSM 3,1.25%
Cs 663,دكاني,SG,31.233779,29.955618,3,23-Pre 13 رشدي,Rep 132,Sup 25,Conv,Smouha,USM 12,Alex,RSM 3,1.25%
Cs 664,ندى,Kiosks,31.2272,29.946995,1,23-Pre 13 رشدي,Rep 132,Sup 25,Presell,Smouha,USM 12,Alex,RSM 3,0.75%
Cs 665,مصراوي ماركت,LG,31.223153,29.948734,2,23-Pre 13 رشدي,Rep 132,Sup 25,Presell,Smouha,USM 12,Alex,RSM 3,1.00%
Cs 666,اولاد الشيخ,SG,31.221935,29.942222,1,23-Pre 13 رشدي,Rep 132,Sup 25,Presell,Smouha,USM 12,Alex,RSM 3,0.75%
Cs 667,الانصارى,Kiosks,31.209446,29.932434,1,23-Pre 14 الأبراهيمية و أمبروزو,Rep 133,Sup 24,Presell,Smouha,USM 12,Alex,RSM 3,0.75%
Cs 668,فداوى,SM,31.210585,29.924593,1,23-Pre 14 الأبراهيمية و أمبروزو,Rep 133,Sup 24,Presell,Smouha,USM 12,Alex,RSM 3,0.75%
Cs 669,ميامى,LG,31.215449,29.941595,1,23-Pre 15 سموحة,Rep 134,Sup 24,Presell,Smouha,USM 12,Alex,RSM 3,0.75%
Cs 670,اميرة,SG,31.216216,29.941932,1,23-Pre 15 سموحة,Rep 134,Sup 24,Presell,Smouha,USM 12,Alex,RSM 3,0.75%
Cs 671,الصفوة ماركت,Kiosks,31.210897,29.944189,2,23-Pre 15 سموحة,Rep 134,Sup 24,Conv,Smouha,USM 12,Alex,RSM 3,1.00%
Cs 672,الصفوة ماركت,SM,31.208202,29.937146,1,23-Pre 15 سموحة,Rep 134,Sup 24,Conv,Smouha,USM 12,Alex,RSM 3,0.75%
Cs 673,ماستر,Kiosks,31.214651,29.938603,2,23-Pre 15 سموحة,Rep 134,Sup 24,Conv,Smouha,USM 12,Alex,RSM 3,1.00%
Cs 674,التكلاي,LG,31.200552,29.936547,2,23-Pre 15 سموحة,Rep 134,Sup 24,Conv,Smouha,USM 12,Alex,RSM 3,1.00%
Cs 675,حمادة ماركت,SG,31.199211,29.956388,3,23-Pre 16 بلازا و المطار,Rep 135,Sup 24,Conv,Smouha,USM 12,Alex,RSM 3,1.25%
Cs 676,ستار دوون تاون,Kiosks,31.168162,29.936825,3,23-Pre 16 بلازا و المطار,Rep 135,Sup 24,Presell,Smouha,USM 12,Alex,RSM 3,1.25%
Cs 677,الحسيني,LG,31.209009,29.959411,1,23-Pre 16 بلازا و المطار,Rep 135,Sup 24,Presell,Smouha,USM 12,Alex,RSM 3,0.75%
Cs 678,03-بقالة البان سالم,SG,31.166274,29.870448,2,core1_الورديان,Rep 136,Sup 25,Presell,ABI,USM 13,Alex,RSM 3,1.00%
Cs 679,03-زغلول,Kiosks,31.168683,29.887577,1,core1_الورديان,Rep 136,Sup 25,Presell,ABI,USM 13,Alex,RSM 3,0.75%
Cs 680,03-معرض الأخوة,SM,31.171271,29.882795,2,core1_الورديان,Rep 136,Sup 25,Presell,ABI,USM 13,Alex,RSM 3,1.00%
Cs 681,03-نور ماركت,Kiosks,31.176906,29.87918,1,core1_الورديان,Rep 136,Sup 25,Conv,ABI,USM 13,Alex,RSM 3,0.75%
Cs 682,03-أسواق زيزو جملة ماركت,SM,30.850509,29.384251,1,core10_الحمام والعلمين,Rep 137,Sup 25,Conv,ABI,USM 13,Alex,RSM 3,0.75%
Cs 683,03-الصفوة-G,Kiosks,30.834599,29.232071,1,core10_الحمام والعلمين,Rep 137,Sup 25,Conv,ABI,USM 13,Alex,RSM 3,0.75%
Cs 684,03-الهيثم,LG,30.87818,29.370538,1,core10_الحمام والعلمين,Rep 137,Sup 25,Conv,ABI,USM 13,Alex,RSM 3,0.75%
Cs 685,03-دار السلام,SG,30.82842,28.955879,1,core10_الحمام والعلمين,Rep 137,Sup 25,Conv,ABI,USM 13,Alex,RSM 3,0.75%
Cs 686,03-السوهاجى,Kiosks,31.001354,29.725568,2,core11_الكينج,Rep 138,Sup 25,Conv,ABI,USM 13,Alex,RSM 3,1.00%
Cs 687,03-العزومى,LG,31.002809,29.726407,1,core11_الكينج,Rep 138,Sup 25,Presell,ABI,USM 13,Alex,RSM 3,0.75%
Cs 688,03-بدر,SG,30.884759,29.582423,2,core11_الكينج,Rep 138,Sup 25,Presell,ABI,USM 13,Alex,RSM 3,1.00%
Cs 689,03-رزق,Kiosks,30.960429,29.670669,1,core11_الكينج,Rep 138,Sup 25,Presell,ABI,USM 13,Alex,RSM 3,0.75%
Cs 690,03-سوبر ماركت هلال,SG,30.958824,29.672523,2,core11_الكينج,Rep 138,Sup 25,Presell,ABI,USM 13,Alex,RSM 3,1.00%
Cs 691,03-شىء يحير,Kiosks,30.888183,29.581039,2,core11_الكينج,Rep 138,Sup 25,Presell,ABI,USM 13,Alex,RSM 3,1.00%
Cs 692,03-الحاج مهدى,LG,31.084549,29.848218,3,core12_العامريه,Rep 139,Sup 25,Presell,ABI,USM 13,Alex,RSM 3,1.25%
Cs 693,03-الصفوة,SG,31.004355,29.818275,3,core12_العامريه,Rep 139,Sup 25,Presell,ABI,USM 13,Alex,RSM 3,1.25%
Cs 694,03-اولاد الشيخ2-G(pL),Kiosks,31.041702,29.828604,1,core12_العامريه,Rep 139,Sup 25,Conv,ABI,USM 13,Alex,RSM 3,0.75%
Cs 695,03-سوبر ماركت عبدالله,SM,31.049739,29.820739,2,core12_العامريه,Rep 139,Sup 25,Conv,ABI,USM 13,Alex,RSM 3,1.00%
Cs 696,03-صالح ابو زروق,Kiosks,31.011046,29.805604,1,core12_العامريه,Rep 139,Sup 25,Conv,ABI,USM 13,Alex,RSM 3,0.75%
Cs 697,03-نجمة الاسكندرية,SM,30.985532,29.814109,1,core12_العامريه,Rep 139,Sup 25,Conv,ABI,USM 13,Alex,RSM 3,0.75%
Cs 698,الرضا,Kiosks,31.045722,29.82754,1,core12_العامريه,Rep 139,Sup 25,Conv,ABI,USM 13,Alex,RSM 3,0.75%
Cs 699,03-الشطورى,LG,30.600542,30.209768,1,core13_الصحراوى قرى,Rep 140,Sup 25,Presell,ABI,USM 13,Alex,RSM 3,0.75%
Cs 700,03-بقالة المدينة,SG,30.45468,30.334891,2,core13_الصحراوى قرى,Rep 140,Sup 25,Presell,ABI,USM 13,Alex,RSM 3,1.00%
Cs 701,03-بقالة المدينه,Kiosks,30.461097,30.326707,3,core13_الصحراوى قرى,Rep 140,Sup 25,Presell,ABI,USM 13,Alex,RSM 3,1.25%
Cs 702,03-سوبر ماركت حبونى,SG,30.861306,29.920869,3,core13_الصحراوى قرى,Rep 140,Sup 25,Presell,ABI,USM 13,Alex,RSM 3,1.25%
Cs 703,03-احمد ماهر,Kiosks,30.382536,30.376289,1,core14_الصحراوي رست,Rep 141,Sup 25,Presell,ABI,USM 13,Alex,RSM 3,0.75%
Cs 704,03-ماركت أبناء عبد الجليل,LG,30.368727,30.347049,2,core14_الصحراوي رست,Rep 141,Sup 25,Conv,ABI,USM 13,Alex,RSM 3,1.00%
Cs 705,03-(pL)03-سوبر ماركت الرزه,SG,31.134545,29.820506,2,core2_الدخيله,Rep 142,Sup 26,Conv,ABI,USM 13,Alex,RSM 3,1.00%
Cs 706,03-الفتح,Kiosks,31.159063,29.86968,3,core2_الدخيله,Rep 142,Sup 26,Conv,ABI,USM 13,Alex,RSM 3,1.25%
Cs 707,03-سوبر ماركت ابو يوسف,SM,31.132071,29.815235,3,core2_الدخيله,Rep 142,Sup 26,Conv,ABI,USM 13,Alex,RSM 3,1.25%
Cs 708,03-سوبر ماركت مكة,Kiosks,31.162476,29.869481,1,core2_الدخيله,Rep 142,Sup 26,Conv,ABI,USM 13,Alex,RSM 3,0.75%
Cs 709,03-فهمي 2,SM,31.133238,29.818641,2,core2_الدخيله,Rep 142,Sup 26,Conv,ABI,USM 13,Alex,RSM 3,1.00%
Cs 710,03-ماركت الحرملك,Kiosks,31.161045,29.871279,1,core2_الدخيله,Rep 142,Sup 26,Presell,ABI,USM 13,Alex,RSM 3,0.75%
Cs 711,03-نور الاسلام,SM,31.161213,29.871067,2,core2_الدخيله,Rep 142,Sup 26,Presell,ABI,USM 13,Alex,RSM 3,1.00%
Cs 712,س م الصعيدي,Kiosks,31.164095,29.871326,2,core2_الدخيله,Rep 142,Sup 26,Presell,ABI,USM 13,Alex,RSM 3,1.00%
Cs 713,س م زمزم,LG,31.164403,29.872323,3,core2_الدخيله,Rep 142,Sup 26,Presell,ABI,USM 13,Alex,RSM 3,1.25%
Cs 714,03-احمد اسماعيل,SG,31.135575,29.783198,3,core3_البيطاش,Rep 143,Sup 26,Presell,ABI,USM 13,Alex,RSM 3,1.25%
Cs 715,03-الانصارى ماركت,Kiosks,31.107694,29.784409,1,core3_البيطاش,Rep 143,Sup 26,Presell,ABI,USM 13,Alex,RSM 3,0.75%
Cs 716,03-الحبيب(pL),LG,31.126403,29.781606,2,core3_البيطاش,Rep 143,Sup 26,Presell,ABI,USM 13,Alex,RSM 3,1.00%
Cs 717,03-الفريد,SG,31.117218,29.786219,1,core3_البيطاش,Rep 143,Sup 26,Conv,ABI,USM 13,Alex,RSM 3,0.75%
Cs 718,03-بقالة الاسراء,Kiosks,31.114408,29.78813,2,core3_البيطاش,Rep 143,Sup 26,Conv,ABI,USM 13,Alex,RSM 3,1.00%
Cs 719,03-سلومة,SM,31.132841,29.783643,1,core3_البيطاش,Rep 143,Sup 26,Conv,ABI,USM 13,Alex,RSM 3,0.75%
Cs 720,03-عزوز,LG,31.130384,29.777907,2,core3_البيطاش,Rep 143,Sup 26,Conv,ABI,USM 13,Alex,RSM 3,1.00%
Cs 721,03-كوكى,SG,31.122931,29.789281,2,core3_البيطاش,Rep 143,Sup 26,Conv,ABI,USM 13,Alex,RSM 3,1.00%
Cs 722,03-نور الهدى,Kiosks,31.126579,29.781605,3,core3_البيطاش,Rep 143,Sup 26,Presell,ABI,USM 13,Alex,RSM 3,1.25%
Cs 723,03-أبو جمعه,SM,31.09695,29.768968,3,core4_المساكن,Rep 144,Sup 26,Presell,ABI,USM 13,Alex,RSM 3,1.25%
Cs 724,03-الاحمدى,Kiosks,31.100884,29.77536,1,core4_المساكن,Rep 144,Sup 26,Presell,ABI,USM 13,Alex,RSM 3,0.75%
Cs 725,03-السيد عبد الكريم,LG,31.102925,29.783537,2,core4_المساكن,Rep 144,Sup 26,Presell,ABI,USM 13,Alex,RSM 3,1.00%
Cs 726,03-المدينة المنورة-S(pL),SG,31.108294,29.785191,1,core4_المساكن,Rep 144,Sup 26,Presell,ABI,USM 13,Alex,RSM 3,0.75%
Cs 727,03-ماركت زغلول الصينية,Kiosks,31.094429,29.769905,1,core4_المساكن,Rep 144,Sup 26,Conv,ABI,USM 13,Alex,RSM 3,0.75%
Cs 728,03-ابناء عيسى,LG,31.101235,29.767405,1,core5_الهانوفيل,Rep 145,Sup 26,Conv,ABI,USM 13,Alex,RSM 3,0.75%
Cs 729,03-السورى(pL),SG,31.120121,29.768564,1,core5_الهانوفيل,Rep 145,Sup 26,Conv,ABI,USM 13,Alex,RSM 3,0.75%
Cs 730,03-المهندس 2000,Kiosks,31.099824,29.7707,1,core5_الهانوفيل,Rep 145,Sup 26,Conv,ABI,USM 13,Alex,RSM 3,0.75%
Cs 731,03-س.م الهيثم,SM,31.107345,29.751769,2,core5_الهانوفيل,Rep 145,Sup 26,Conv,ABI,USM 13,Alex,RSM 3,1.00%
Cs 732,03-سعيد الرشيدى الزهراء,Kiosks,31.115782,29.765232,1,core5_الهانوفيل,Rep 145,Sup 26,Conv,ABI,USM 13,Alex,RSM 3,0.75%
Cs 733,03-الاسيوطى,SM,31.085959,29.747597,2,core6_ابويوسف,Rep 146,Sup 26,Presell,ABI,USM 13,Alex,RSM 3,1.00%
Cs 734,03-اولاد عمران,Kiosks,31.090904,29.756402,1,core6_ابويوسف,Rep 146,Sup 26,Presell,ABI,USM 13,Alex,RSM 3,0.75%
Cs 735,03-توتة,LG,31.090311,29.756113,2,core6_ابويوسف,Rep 146,Sup 26,Presell,ABI,USM 13,Alex,RSM 3,1.00%
Cs 736,03-قاصد كريم,SG,31.09326,29.760809,2,core6_ابويوسف,Rep 146,Sup 26,Presell,ABI,USM 13,Alex,RSM 3,1.00%
Cs 737,03-قاصد كريم - المداخل,Kiosks,31.086895,29.749314,3,core6_ابويوسف,Rep 146,Sup 26,Presell,ABI,USM 13,Alex,RSM 3,1.25%
Cs 738,س م تاج,LG,31.081395,29.739811,3,core6_ابويوسف,Rep 146,Sup 26,Presell,ABI,USM 13,Alex,RSM 3,1.25%
Cs 739,03-المصطفى,SG,31.077981,29.737638,1,core7_مساكن ك 21,Rep 147,Sup 26,Presell,ABI,USM 13,Alex,RSM 3,0.75%
Cs 740,03-النخيل 1,Kiosks,31.080442,29.737283,2,core7_مساكن ك 21,Rep 147,Sup 26,Conv,ABI,USM 13,Alex,RSM 3,1.00%
Cs 741,03-مصطفي جادو,SG,31.080455,29.738094,1,core7_مساكن ك 21,Rep 147,Sup 26,Conv,ABI,USM 13,Alex,RSM 3,0.75%
Cs 742,الجهيني,Kiosks,31.077783,29.738265,1,core7_مساكن ك 21,Rep 147,Sup 26,Conv,ABI,USM 13,Alex,RSM 3,0.75%
Cs 743,03-الايمان,LG,31.087333,29.730179,1,core8_أكتوبر,Rep 148,Sup 26,Conv,ABI,USM 13,Alex,RSM 3,0.75%
Cs 744,03-السعدنى(pL),SG,31.091952,29.731084,1,core8_أكتوبر,Rep 148,Sup 26,Conv,ABI,USM 13,Alex,RSM 3,0.75%
Cs 745,03-السنابل,Kiosks,31.060948,29.704558,1,core9_أبوتلات,Rep 149,Sup 26,Presell,ABI,USM 13,Alex,RSM 3,0.75%
Cs 746,03-الفيروز ماركت,SM,30.981631,29.578345,2,core9_أبوتلات,Rep 149,Sup 26,Presell,ABI,USM 13,Alex,RSM 3,1.00%
Cs 747,03-سوق الفرج التجارى,Kiosks,31.060987,29.704069,1,core9_أبوتلات,Rep 149,Sup 26,Presell,ABI,USM 13,Alex,RSM 3,0.75%
Cs 748,03-سوميد الجميعي,SM,31.053004,29.695382,2,core9_أبوتلات,Rep 149,Sup 26,Presell,ABI,USM 13,Alex,RSM 3,1.00%
Cs 749,03-ماركت الصفا,Kiosks,31.061369,29.703992,2,core9_أبوتلات,Rep 149,Sup 26,Presell,ABI,USM 13,Alex,RSM 3,1.00%
Cs 750,03-ميني ماركت الزهراء,LG,31.008484,29.62092,3,core9_أبوتلات,Rep 149,Sup 26,Conv,ABI,USM 13,Alex,RSM 3,1.25%
Cs 751,مزايا,SG,30.845972,29.434369,3,core9_أبوتلات,Rep 149,Sup 26,Conv,ABI,USM 13,Alex,RSM 3,1.25%
Cs 752,42-P-ابن البلد,Kiosks,31.296949,30.055316,1,42-Pre 36 ابوقير,Rep 150,Sup 27,Conv,East_Alex,USM 14,Alex,RSM 3,0.75%
Cs 753,42-P-انور بيومى,SG,31.300761,30.056665,2,42-Pre 36 ابوقير,Rep 150,Sup 27,Conv,East_Alex,USM 14,Alex,RSM 3,1.00%
Cs 754,42-P-رضوان,Kiosks,31.298233,30.064363,2,42-Pre 36 ابوقير,Rep 150,Sup 27,Conv,East_Alex,USM 14,Alex,RSM 3,1.00%
Cs 755,42-P-زمزم,LG,31.314143,30.061444,1,42-Pre 36 ابوقير,Rep 150,Sup 27,Conv,East_Alex,USM 14,Alex,RSM 3,0.75%
Cs 756,42-P-عباد الرحمن,SG,31.313917,30.062889,2,42-Pre 36 ابوقير,Rep 150,Sup 27,Presell,East_Alex,USM 14,Alex,RSM 3,1.00%
Cs 757,42-P-كاوس,Kiosks,31.318398,30.061904,1,42-Pre 36 ابوقير,Rep 150,Sup 27,Presell,East_Alex,USM 14,Alex,RSM 3,0.75%
Cs 758,42-P-الباشا,SM,31.273377,30.00136,2,42-Pre 38 المندرة بحري,Rep 151,Sup 27,Presell,East_Alex,USM 14,Alex,RSM 3,1.00%
Cs 759,42-P-السلام 2,Kiosks,31.278465,30.010612,2,42-Pre 38 المندرة بحري,Rep 151,Sup 27,Presell,East_Alex,USM 14,Alex,RSM 3,1.00%
Cs 760,42-P-الوردة,SM,31.274849,30.002826,3,42-Pre 38 المندرة بحري,Rep 151,Sup 27,Presell,East_Alex,USM 14,Alex,RSM 3,1.25%
Cs 761,42-P-سعد الجمل السوق التجارى,Kiosks,31.279729,30.012999,3,42-Pre 38 المندرة بحري,Rep 151,Sup 27,Presell,East_Alex,USM 14,Alex,RSM 3,1.25%
Cs 762,42-P-سوق المدينة,SM,31.278662,30.010878,1,42-Pre 38 المندرة بحري,Rep 151,Sup 27,Presell,East_Alex,USM 14,Alex,RSM 3,0.75%
Cs 763,42-P-ليالى الحسين,Kiosks,31.279799,30.009752,2,42-Pre 38 المندرة بحري,Rep 151,Sup 27,Conv,East_Alex,USM 14,Alex,RSM 3,1.00%
Cs 764,42-P-Red سوق رنا,LG,31.268498,29.999586,1,42-Pre 40 - بحري 45,Rep 152,Sup 27,Conv,East_Alex,USM 14,Alex,RSM 3,0.75%
Cs 765,42-P-اسواق الشريف,SG,31.271567,30.003011,1,42-Pre 40 - بحري 45,Rep 152,Sup 27,Conv,East_Alex,USM 14,Alex,RSM 3,0.75%
Cs 766,42-P-الروينى,Kiosks,31.266029,29.993471,1,42-Pre 40 - بحري 45,Rep 152,Sup 27,Conv,East_Alex,USM 14,Alex,RSM 3,0.75%
Cs 767,42-P-دومة,LG,31.267901,29.99856,1,42-Pre 40 - بحري 45,Rep 152,Sup 27,Conv,East_Alex,USM 14,Alex,RSM 3,0.75%
Cs 768,42-P-زياد,SG,31.267487,29.998805,1,42-Pre 40 - بحري 45,Rep 152,Sup 27,Presell,East_Alex,USM 14,Alex,RSM 3,0.75%
Cs 769,42-P-قشطة,Kiosks,31.265536,29.997174,2,42-Pre 40 - بحري 45,Rep 152,Sup 27,Presell,East_Alex,USM 14,Alex,RSM 3,1.00%
Cs 770,42-P-الخالدية,SM,31.263543,29.991794,1,42-Pre 41 ميامي,Rep 153,Sup 27,Presell,East_Alex,USM 14,Alex,RSM 3,0.75%
Cs 771,42-P-الفرسان,LG,31.268726,29.991186,2,42-Pre 41 ميامي,Rep 153,Sup 27,Presell,East_Alex,USM 14,Alex,RSM 3,1.00%
Cs 772,42-P-بشرة خير,SG,31.265155,29.992207,2,42-Pre 41 ميامي,Rep 153,Sup 27,Presell,East_Alex,USM 14,Alex,RSM 3,1.00%
Cs 773,42-P-خفاجة,Kiosks,31.264042,29.993458,3,42-Pre 41 ميامي,Rep 153,Sup 27,Conv,East_Alex,USM 14,Alex,RSM 3,1.25%
